variabletag,dum_vars,IndFlag,Label,Variable,Banner,Attribute,SegType,Type,Drivers,PDomain
Qdevice,QDevice_r1,1,Device: Phone,,Device,Phone,Device,Device,Phone,
MRK_Age,MRK_Age_r1,1,18-24,,Age Group,18-24,Demographic,Age Group,18-24,
MRK_Age,MRK_Age_r2,1,25-34,,Age Group,25-34,Demographic,Age Group,25-34,
MRK_Age,MRK_Age_r3,1,35-44,,Age Group,35-44,Demographic,Age Group,35-44,
MRK_Age,MRK_Age_r4,1,45-54,,Age Group,45-54,Demographic,Age Group,45-54,
MRK_Age,MRK_Age_r5,1,55-64,,Age Group,55-64,Demographic,Age Group,55-64,
MRK_Age,MRK_Age_r6,1,65-70,,Age Group,65-70,Demographic,Age Group,65-70,
S1,S1_r1,1,Gender:Male,,Gender,Male,Demographic,Gender,Male,
S1,S1_r2,1,Gender:Female,,Gender,Female,Demographic,Gender,Female,
S3,S3_r1,1,Ethnicity:White or Caucasian,,Ethnicity,White or Caucasian,Demographic,Ethnicity,White or Caucasian,
S3,S3_r2,1,Ethnicity:Hispanic,,Ethnicity,Hispanic,Demographic,Ethnicity,Hispanic,
S3,S3_r3,1,Ethnicity:Black or African-American,,Ethnicity,Black or African-American,Demographic,Ethnicity,Black or African-American,
S3,S3_r4,1,"Ethnicity:Asian, Oriental or Pacific Islander",,Ethnicity,"Asian, Oriental or Pacific Islander",Demographic,Ethnicity,"Asian, Oriental or Pacific Islander",
S3,S3_r5,1,Ethnicity:Native American or American Indian,,Ethnicity,Native American or American Indian,Demographic,Ethnicity,Native American or American Indian,
S3,S3_r6,1,Ethnicity:Other,,Ethnicity,Other,Demographic,Ethnicity,Other,
Region,Region_r1,1,Region:Northeast,,Region,Northeast,Demographic,Region,Northeast,
Region,Region_r2,1,Region:Midwest,,Region,Midwest,Demographic,Region,Midwest,
Region,Region_r3,1,Region:South,,Region,South,Demographic,Region,South,
Region,Region_r4,1,Region:West,,Region,West,Demographic,Region,West,
